@RELATION combined

@ATTRIBUTE name {ArcPlatform,Berek,E-Learning,InterCafe,Nieruchomosci,Tomcat,Zuzel,ant,camel,forrest,ivy,jEdit}
@ATTRIBUTE wmc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE ca REAL
@ATTRIBUTE ce REAL
@ATTRIBUTE npm REAL
@ATTRIBUTE lcom3 REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE dam REAL
@ATTRIBUTE moa REAL
@ATTRIBUTE cam REAL
@ATTRIBUTE max_cc REAL
@ATTRIBUTE avg_cc REAL
@ATTRIBUTE bug {0, 1}

@DATA
ant,25,13,59,248,9,4,20,0.875,290,1,1,0.173333333,6,1.4,0
ant,25,15,108,244,0,15,15,0.81547619,712,1,4,0.178030303,8,1.48,1
ant,25,35,39,0,9,26,25,0,189,1,0,0.08,1,0.96,0
ant,25,14,91,196,3,13,16,0.878205128,800,1,1,0.21875,6,1.68,1
ant,25,27,38,0,8,22,21,0.666666667,198,1,0,0.092,2,0.96,0
ant,25,10,53,224,1,9,17,0.720238095,460,1,1,0.2,5,1.84,1
ant,25,18,91,218,0,18,18,0.889880952,671,1,2,0.325,10,1.56,0
ant,25,18,117,230,2,17,14,0.958333333,877,0.789473684,0,0.222222222,5,1.64,1
ant,25,26,103,134,10,16,3,0.77173913,1167,1,9,0.226190476,29,4.68,1
ant,25,20,71,182,12,9,22,0.819444444,515,1,1,0.179166667,11,1.84,1
Tomcat,25,2,56,268,2,0,25,0.847222222,307,1,0,0.262857143,8,1.32,0
Tomcat,25,11,55,6,6,0,22,0.510416667,786,1,0,0.256944444,6,1.72,0
Tomcat,25,19,41,272,17,0,25,0.986979167,206,0.5625,2,0.133333333,3,1.04,0
Tomcat,25,0,25,300,0,0,25,1.041666667,29,0,0,0.413333333,1,1,0
Tomcat,25,7,73,144,0,0,8,0.913690476,1372,0.571428571,0,0.381944444,8,2.6,0
E-Learning,25,6,42,238,0,6,25,0.920454545,201,1,0,0.72,1,0.96,0
Zuzel,25,42,40,150,39,3,23,0.791666667,347,1,0,0.182222222,3,0.96,0
jEdit,25,9,60,62,6,6,19,0.729166667,496,1,1,0.205714286,6,1.92,0
ArcPlatform,26,8,33,285,5,3,26,0.956666667,172,1,4,0.132867133,6,1.1923,0
ArcPlatform,26,11,65,0,0,11,24,0.56,669,1,2,0.302222222,1,0.9231,0
ant,26,7,50,271,0,7,20,0.955789474,392,0.473684211,0,0.384615385,9,1.5,0
ant,26,12,109,233,1,12,20,0.892,881,1,1,0.157051282,4,1.0769,1
ant,26,5,42,233,0,5,19,0.8,269,1,0,0.269230769,3,1.3846,0
ant,26,8,60,225,1,7,20,0.872727273,526,1,2,0.24,10,1.3077,1
ant,26,4,34,203,0,4,26,0.88,399,1,0,0.487179487,1,0.9615,0
ant,26,12,85,217,7,7,19,0.777142857,811,0.785714286,1,0.21978022,7,1.9615,1
Tomcat,26,16,89,91,7,0,24,0.772,918,1,1,0.246666667,5,1.1538,0
Tomcat,26,14,76,139,2,0,12,0.765925926,2884,0.925925926,6,0.145604396,39,2.4231,0
Tomcat,26,7,66,0,1,0,23,0.544,923,1,1,0.217142857,6,2.3077,0
camel,26,14,61,235,4,11,23,0.712,303,1,2,0.188034188,4,1.1923,0
camel,26,9,47,0,4,5,24,0.08,236,1,1,0.258241758,2,1,1
camel,26,17,54,289,1,16,25,0.875,279,1,2,0.136363636,3,1.1154,0
camel,26,448,26,325,446,4,26,1.04,29,0,0,0.157692308,1,1,1
camel,26,49,51,279,39,10,21,0.776,366,1,3,0.205128205,6,1.3846,0
camel,26,14,39,305,5,10,21,0.84,208,0.5,0,0.214285714,1,0.8462,0
Zuzel,26,10,80,189,6,8,3,0.834,938,0.85,4,0.230769231,2,1.5,1
jEdit,26,60,81,217,52,16,20,0.876363636,412,0.909090909,3,0.105,8,1.6154,0
ivy,27,33,78,219,23,13,24,0.737179487,394,1,5,0.150997151,4,1.2593,0
ant,27,8,101,157,5,3,15,0.824786325,1286,0.888888889,1,0.183760684,4,1.1111,1
ant,27,11,53,229,8,3,23,0.802197802,405,1,0,0.138047138,6,1.5185,1
ant,27,13,118,265,0,13,12,0.895604396,1542,1,3,0.177777778,10,2.963,1
ant,27,25,41,321,2,23,27,0,191,1,0,0.084656085,4,1.1852,1
ant,27,6,46,53,3,3,4,0.74009324,2106,1,2,0.209876543,9,1.4815,1
Tomcat,27,21,27,351,18,0,27,2,27,0,0,1,1,1,0
Tomcat,27,19,104,237,1,0,21,0.735576923,811,1,1,0.224358974,9,1.8889,0
Tomcat,27,0,54,351,0,0,26,2,141,0,0,0.314814815,1,0.963,0
camel,27,26,61,105,12,14,22,0.666666667,265,1,1,0.113756614,4,1.0741,1
camel,27,32,60,245,19,16,24,0.835164835,345,1,1,0.169230769,3,1.0741,0
camel,27,16,67,283,5,13,14,0.888888889,410,1,3,0.157342657,7,1.5556,1
jEdit,27,20,65,65,9,13,0,0.683760684,1240,1,4,0.25462963,24,3.7407,0
jEdit,27,19,96,295,6,16,23,0.884615385,745,1,2,0.129370629,10,2.2222,0
jEdit,27,21,69,351,17,5,25,1.038461538,1201,0.375,0,0.200617284,25,5.7778,0
ArcPlatform,20,19,68,70,0,19,16,0.836842105,562,1,8,0.148606811,1,0.9,0
ArcPlatform,20,9,20,190,4,5,20,2,20,0,0,0.407142857,1,1,0
ArcPlatform,20,13,20,190,7,6,20,2,20,0,0,0.328571429,1,1,1
ivy,20,8,29,108,5,3,20,0.809210526,188,1,1,0.235714286,1,0.9,0
ivy,20,4,30,142,2,2,18,0.763157895,183,1,0,0.5,2,1.05,0
ivy,20,106,45,182,103,5,17,1.015037594,124,0.285714286,1,0.144736842,2,0.95,0
ant,20,4,40,130,0,4,18,0.736842105,345,1,1,0.284210526,3,1.15,1
ant,20,7,79,136,5,5,10,0.897506925,835,1,1,0.19375,10,1.95,0
ant,20,7,42,148,0,7,15,0.918660287,263,0.545454545,0,0.3875,6,1.4,0
ant,20,5,21,130,3,2,20,0.852631579,125,1,0,0.36,4,1.05,0
ant,20,7,39,148,0,7,16,0.923076923,285,0.538461538,0,0.375,5,1.3,0
ant,20,5,54,138,1,4,13,0.789473684,703,0.421052632,6,0.177631579,11,2.3,0
ant,20,9,56,150,0,9,15,0.956140351,455,0.611111111,2,0.289473684,6,1.3,1
ant,20,7,52,154,0,7,19,0.942982456,377,0.5,0,0.3,6,1.2,0
ant,20,9,46,160,0,9,17,0.859649123,206,1,0,0.263157895,2,1.05,1
ant,20,18,70,136,1,18,13,0.824561404,515,1,5,0.167464115,7,1.45,1
Tomcat,20,15,89,60,6,0,17,0.796052632,826,1,5,0.133333333,10,1.6,1
Tomcat,20,17,59,22,2,0,17,0.664473684,585,1,5,0.368421053,11,2.5,1
Tomcat,20,0,53,48,0,0,18,0.602339181,1126,1,0,0.31,6,1.65,0
Tomcat,20,11,61,154,5,0,16,0.804511278,695,0.142857143,2,0.270676692,22,3.75,0
Tomcat,20,4,52,114,1,0,19,0.511278195,774,1,0,0.305555556,4,0.7,0
Tomcat,20,2,29,92,2,0,19,0.822368421,336,1,0,0.375,10,1.7,0
Tomcat,20,3,50,134,1,0,12,0.837320574,342,1,1,0.280701754,4,1.2,0
Tomcat,20,25,31,160,19,0,20,0.842105263,219,1,2,0.216666667,4,1.3,0
Tomcat,20,0,25,108,0,0,20,0.898026316,229,0.75,4,0.25,2,1,0
Tomcat,20,5,51,156,1,0,19,0.642105263,429,1,2,0.371428571,2,0.3,0
camel,20,26,95,144,2,26,13,0.842105263,433,1,0,0.197368421,3,1,0
camel,20,20,98,178,15,5,12,0.631578947,880,1,0,0.276315789,15,2.85,0
camel,20,8,30,144,2,8,20,0.879699248,148,1,0,0.20625,2,0.95,0
camel,20,16,20,190,3,14,20,2,20,0,0,0.225,1,1,0
camel,20,10,24,178,4,8,16,0.789473684,114,1,1,0.221428571,1,0.85,0
camel,20,27,109,148,11,19,14,0.802631579,728,1,3,0.210526316,10,1.95,0
camel,20,80,20,190,75,10,20,2,20,0,0,0.16,1,1,1
camel,20,12,38,146,4,9,19,0.810526316,199,1,1,0.221428571,4,1.1,0
camel,20,16,45,188,1,16,19,0.052631579,184,1,2,0.172222222,4,1.1,1
camel,20,7,39,132,1,6,18,0.881578947,363,1,0,0.3875,30,2.55,1
camel,20,33,96,122,6,27,8,0.726315789,930,1,4,0.244019139,9,3.25,1
camel,20,11,52,128,5,8,14,0.701754386,313,1,1,0.190789474,4,1.5,0
camel,20,18,53,126,4,17,14,0.782894737,299,1,2,0.16,2,1.05,0
Zuzel,20,20,67,118,17,7,5,0.857585139,665,1,3,0.23,2,1.5,1
jEdit,20,14,75,104,7,13,8,0.589473684,391,0.8,3,0.204678363,5,1.9,0
jEdit,20,12,84,46,9,6,10,0.756578947,798,1,1,0.248120301,8,2.2,0
jEdit,20,15,45,62,14,5,9,0.845864662,603,0.785714286,5,0.172222222,14,3,0
jEdit,20,47,45,190,47,0,19,2,841,0,0,0.1875,23,5.75,0
jEdit,20,23,79,102,7,19,8,0.771929825,1583,0.555555556,1,0.252631579,5,1.8,0
jEdit,20,5,55,60,5,0,16,0.684210526,320,1,0,0.23125,5,1.7,0
jEdit,20,27,144,154,13,22,11,0.855263158,1034,0.75,2,0.157894737,40,4.25,0
jEdit,20,31,131,178,1,31,7,0.368421053,853,1,1,0.194444444,8,2.15,0
Berek,20,14,92,110,9,12,1,0.694736842,965,0.6,4,0.176923077,8,1.4,1
ArcPlatform,21,4,25,182,4,0,21,0.95,153,1,0,0.210884354,7,1.2857,0
ArcPlatform,21,3,24,184,3,0,21,0.95,113,1,0,0.357142857,1,0.9524,0
ArcPlatform,21,16,53,154,0,16,16,0.892307692,389,1,4,0.176870748,1,0.9524,1
ivy,21,7,22,154,5,2,21,0.905,141,1,2,0.18452381,1,0.9524,0
ivy,21,9,58,156,3,0,15,0.855555556,373,1,0,0.32,6,1.381,0
ivy,21,12,46,132,7,5,10,0.5875,281,0.75,1,0.173160173,4,1.381,0
ivy,21,12,77,160,2,0,15,0.9125,797,1,0,0.227513228,3,1.0952,0
ivy,21,21,38,170,17,4,21,0.6625,224,1,1,0.253968254,1,0.7619,0
ivy,21,30,108,190,1,0,7,0.794444444,766,0.888888889,1,0.292857143,10,1.9524,0
ivy,21,4,54,0,0,0,19,0.858333333,233,0.5,1,0.375,2,1,0
ant,21,9,55,162,4,5,18,0.71,361,1,1,0.19375,6,1.619,0
ant,21,14,47,124,10,4,18,0.7,575,0.857142857,0,0.325396825,10,2.619,0
ant,21,15,72,54,1,14,16,0.835,457,0.9,2,0.194444444,3,1,1
ant,21,10,42,126,2,8,15,0.7875,274,1,0,0.178571429,4,1.381,0
ant,21,15,76,152,5,14,16,0.833333333,573,0.888888889,2,0.178571429,23,3.1905,1
ant,21,2,36,38,2,0,17,0.631818182,620,0.818181818,0,0.293650794,3,0.8571,1
ant,21,12,61,144,1,12,15,0.836363636,507,1,3,0.1875,4,1.4286,0
ant,21,7,45,168,0,7,16,0.923076923,302,0.538461538,0,0.392857143,7,1.4762,0
Tomcat,21,1,22,210,0,0,21,1.05,47,0,0,0.306122449,1,0.9524,0
Tomcat,21,7,71,122,3,0,14,0.853846154,1068,1,2,0.166666667,14,3.7143,0
Tomcat,21,1,55,68,1,0,19,0.622222222,1188,1,0,0.253968254,6,1.8095,0
Tomcat,21,7,44,2,3,0,12,0.545,317,0.8,0,0.30952381,4,1.5238,0
Tomcat,21,5,75,118,0,0,15,0.838888889,720,1,1,0.26,7,1.4286,0
Tomcat,21,9,98,148,3,0,9,0.735714286,1367,1,3,0.275132275,54,4.2381,1
Tomcat,21,5,66,114,1,0,19,0.827272727,607,0.090909091,0,0.3375,16,2.2381,0
Tomcat,21,12,95,124,5,0,14,0.858333333,719,1,2,0.225,12,1.9048,1
camel,21,15,52,142,1,14,12,0.828571429,292,1,1,0.2,3,1,0
camel,21,14,25,198,8,7,16,0.8,119,1,1,0.217687075,1,0.8571,0
camel,21,37,50,168,8,29,13,0.725,266,1,1,0.192857143,5,1.0952,0
camel,21,9,37,116,3,7,12,0.888888889,180,0.777777778,3,0.178571429,4,1.1905,1
camel,21,19,52,160,5,19,13,0.8625,287,1,4,0.166666667,5,1.6667,0
E-Learning,21,14,48,110,8,6,21,0.75,181,1,3,0.206349206,3,1.1429,1
jEdit,21,20,99,130,6,19,5,0.816666667,596,1,3,0.323809524,10,1.7143,0
jEdit,21,30,67,0,15,18,18,0.5,411,1,1,0.2875,6,1.3333,0
jEdit,21,10,36,96,5,8,14,0.754166667,559,1,8,0.204081633,8,2.5714,0
jEdit,21,19,87,208,10,11,20,1,665,0.5,0,0.344444444,8,2.8095,0
jEdit,21,29,50,156,22,8,18,0.85,601,1,1,0.244897959,11,2.4286,0
jEdit,21,13,86,134,5,10,9,0.875,891,1,3,0.226190476,38,3.4286,0
ArcPlatform,22,16,114,165,0,16,11,0.898809524,746,1,3,0.13968254,5,1.1818,1
ArcPlatform,22,18,72,47,0,18,16,0.666666667,679,1,3,0.179487179,3,1.0909,1
ArcPlatform,22,6,56,123,1,5,17,0.836734694,445,1,1,0.309090909,5,1.4545,0
ivy,22,16,59,0,1,15,22,0.714285714,354,0.6,2,0.162878788,3,1.4091,0
ivy,22,30,104,63,5,25,11,0.571428571,707,1,1,0.184659091,9,1.7727,0
ivy,22,20,143,0,2,20,5,0.761904762,1648,1,2,0.331168831,16,2.8636,1
ant,22,5,47,159,0,5,19,0.904761905,365,1,1,0.361904762,9,1.3636,0
ant,22,37,44,183,31,6,7,0.523809524,271,1,1,0.198863636,3,1.3182,0
ant,22,13,80,59,0,13,17,0.977443609,678,1,1,0.477272727,8,1.8182,0
ant,22,12,71,163,1,11,17,0.867346939,783,1,5,0.25170068,22,2.6818,1
ant,22,14,62,133,10,5,17,0.571428571,625,1,0,0.266233766,9,2.8182,0
ant,22,7,45,183,0,7,18,0.949579832,307,0.470588235,0,0.386363636,11,1.5455,0
ant,22,8,46,189,0,8,16,0.919413919,333,0.538461538,0,0.397727273,8,1.5455,0
ant,22,25,172,151,1,25,10,0.921768707,1224,0.285714286,2,0.178030303,12,2.2273,1
Tomcat,22,20,145,127,0,0,15,0.867346939,1226,0.857142857,1,0.306122449,10,2.3182,0
Tomcat,22,33,50,189,19,0,21,0.933333333,376,1,3,0.174603175,2,1,0
Tomcat,22,25,158,65,3,0,12,0.806239737,1864,1,11,0.134920635,20,3,0
Tomcat,22,40,55,219,30,0,20,0.19047619,474,1,1,0.252066116,1,0.9545,1
Tomcat,22,9,83,225,7,0,19,0.880952381,995,1,1,0.198412698,23,3.4091,1
Tomcat,22,11,58,125,1,0,21,0.870748299,560,0.071428571,0,0.258503401,5,1.2273,0
camel,22,182,22,231,182,1,22,2,22,0,0,0.25974026,1,1,1
camel,22,23,53,181,3,21,22,0.871428571,302,1,6,0.123376623,6,1.4091,1
camel,22,15,66,193,4,14,16,0.849206349,318,1,1,0.295454545,4,1.3636,0
camel,22,20,38,181,15,5,17,0.714285714,206,1,0,0.272727273,4,1.5,1
camel,22,45,59,231,29,16,21,2,371,0,0,0.333333333,5,1.5,1
jEdit,22,34,114,219,1,33,6,0.962406015,2003,0,5,0.159090909,18,5.4545,0
jEdit,22,24,47,231,19,9,18,1,322,0,1,0.227272727,5,1.6818,0
jEdit,22,21,52,201,15,6,19,0.947619048,411,0.9,1,0.2,6,1.9545,0
jEdit,22,8,85,187,4,7,3,0.761904762,695,1,1,0.174603175,5,1,0
jEdit,22,23,115,167,10,22,11,0.813852814,561,1,4,0.188311688,8,1.3636,1
jEdit,22,10,75,195,4,9,8,0.823809524,532,1,3,0.161157025,7,1.9091,0
jEdit,22,14,90,73,2,13,18,0.720238095,663,0.875,3,0.204545455,15,2,0
ArcPlatform,23,23,66,159,0,23,21,0.915584416,439,1,6,0.165584416,5,1.2609,0
ArcPlatform,23,5,24,231,5,0,23,0.954545455,114,1,0,0.295652174,1,0.9565,0
ArcPlatform,23,5,29,223,3,2,23,0.954545455,134,1,2,0.204968944,2,1,1
ivy,23,150,67,235,147,5,20,0.852272727,653,0.75,1,0.28030303,9,1.8696,1
ivy,23,10,74,189,1,9,14,0.806818182,608,1,0,0.233766234,8,1.5652,0
ivy,23,7,33,213,4,3,15,0.966403162,284,0.47826087,2,0.239130435,5,1.4348,0
ivy,23,57,23,253,46,16,23,2,23,0,0,0.127717391,1,1,0
ant,23,4,56,107,3,2,18,0.636363636,689,1,2,0.260869565,7,2.1304,1
ant,23,4,42,185,0,4,15,0.811688312,249,0.857142857,0,0.211180124,3,1.3913,0
ant,23,17,126,161,2,17,5,0.770833333,2117,0.791666667,0,0.148760331,53,4.5217,1
ant,23,15,56,191,11,4,16,0.807359307,850,0.333333333,7,0.1875,11,2.4783,0
ant,23,6,64,213,2,4,18,0.738636364,409,1,1,0.194805195,6,1.9565,0
ant,23,13,96,181,0,13,16,0.715909091,856,1,1,0.227272727,5,1.2609,1
Tomcat,23,18,83,137,3,0,14,0.835227273,845,1,2,0.2,8,2.3043,1
Tomcat,23,5,31,175,0,0,21,0.827272727,189,1,0,0.695652174,5,1.1304,0
Tomcat,23,1,27,181,1,0,22,0.97979798,3320,0.111111111,0,0.25,17,3.913,0
Tomcat,23,19,36,253,17,0,22,2,128,0,0,0.246376812,6,1.2174,0
Tomcat,23,19,112,115,4,0,19,0.875,954,1,1,0.227272727,6,1.4783,0
Tomcat,23,9,48,193,5,0,21,0.90530303,429,0.916666667,5,0.272727273,10,2.2609,1
Tomcat,23,7,38,155,5,0,19,0.704545455,316,1,1,0.227272727,4,1.2609,0
camel,23,13,49,201,2,13,21,0.918181818,266,1,0,0.176767677,1,0.8696,0
camel,23,18,60,191,4,16,18,0.850649351,312,1,1,0.202020202,2,0.913,1
camel,23,19,33,217,4,18,23,0.636363636,247,1,3,0.241545894,2,1,0
camel,23,23,39,205,10,18,23,0.840909091,185,1,3,0.152173913,3,1.087,0
camel,23,7,34,137,3,6,21,0.772727273,230,1,0,0.402173913,4,0.9565,0
camel,23,7,33,179,2,7,14,0.892045455,144,1,0,0.189393939,1,0.913,0
Zuzel,23,4,32,171,3,1,23,0.880681818,169,1,0,0.229813665,1,0.913,1
jEdit,23,6,57,41,2,5,7,0.935992579,1257,0.306122449,10,0.222727273,12,3.0435,0
jEdit,23,29,73,201,21,16,7,0.870629371,403,0.923076923,5,0.173913043,6,1.5652,0
jEdit,23,3,51,195,3,1,13,0.809090909,300,1,0,0.166007905,7,1.5652,0
jEdit,23,21,69,175,10,11,18,0.712121212,533,1,3,0.151515152,8,2.8696,0
jEdit,23,25,98,95,8,22,13,0.842424242,734,0.8,3,0.217391304,9,2.2174,0
ArcPlatform,28,27,28,378,24,3,28,2,28,0,0,0.228571429,1,1,0
ArcPlatform,28,25,92,238,0,25,27,0.920987654,487,0.933333333,7,0.140740741,5,1.25,0
ivy,28,32,82,374,26,7,24,1.012345679,926,0.166666667,0,0.226337449,23,2.6786,1
ivy,28,17,70,300,1,17,21,0.728395062,488,0.666666667,0,0.129120879,8,1.8214,0
ivy,28,11,72,118,5,10,18,0.994026284,719,0.967741935,0,0.220238095,6,2.7143,1
ant,28,12,97,302,1,11,16,0.962962963,1230,1,0,0.272321429,20,2.2857,0
ant,28,23,45,348,5,23,28,0.037037037,204,1,0,0.079192547,4,1.2143,1
ant,28,34,63,200,29,7,24,0.805555556,528,1,2,0.219387755,8,1.8571,1
ant,28,18,132,130,3,15,19,0.846560847,1139,0.928571429,2,0.151515152,6,1.6786,1
ant,28,13,85,248,5,8,24,0.87654321,860,0.952380952,3,0.189285714,28,3.3214,0
ant,28,20,78,142,1,20,26,0.785185185,503,1,1,0.183035714,3,1.1429,0
ant,28,17,105,344,7,12,13,0.864197531,874,0.555555556,4,0.243386243,9,2.0714,0
ant,28,11,52,282,7,4,28,0.919753086,300,1,3,0.13961039,3,1.2857,0
Tomcat,28,0,29,374,0,0,27,1.007407407,48,0.4,0,0.171428571,1,0.9643,0
Tomcat,28,25,88,230,8,0,26,0.864197531,674,1,1,0.24691358,10,1.5,0
Tomcat,28,34,181,20,4,0,8,0.773420479,2634,1,6,0.148148148,19,5.0714,1
Tomcat,28,2,40,96,2,0,25,0.444444444,1019,0.666666667,0,0.31547619,7,1.3571,0
Tomcat,28,12,93,172,4,0,22,0.77582846,1410,0.421052632,11,0.171717172,17,3.7143,1
camel,28,8,44,300,3,7,27,0.910493827,248,1,0,0.136363636,4,1.1429,0
camel,28,41,49,354,29,12,21,0.851851852,281,1,3,0.157142857,5,1.3214,1
Berek,28,19,83,172,12,9,24,0.782407407,800,1,0,0.178571429,23,2.5357,1
InterCafe,28,15,84,48,10,14,8,0.768382353,839,0.294117647,6,0.178571429,6,1.6154,1
ArcPlatform,29,24,91,238,0,24,19,0.899159664,641,1,6,0.16091954,4,1.4483,1
ivy,29,21,104,236,1,20,22,0.767857143,733,1,0,0.143236074,5,1.7586,1
ivy,29,21,97,316,4,0,20,0.853571429,677,0.9,1,0.206896552,8,1.931,0
ivy,29,39,116,90,1,38,22,0.915584416,1109,0.818181818,5,0.149350649,14,2.069,1
ivy,29,24,91,312,10,16,27,0.821428571,699,1,3,0.116710875,6,1.8276,0
ant,29,184,66,346,181,8,19,0.839285714,375,1,3,0.191570881,5,1.3448,0
ant,29,25,109,268,1,25,20,0.851190476,879,1,6,0.125,29,3,1
ant,29,18,96,294,2,17,16,0.897619048,796,0.933333333,4,0.162698413,5,1.3793,0
ant,29,89,59,328,85,5,27,0.880952381,471,0.777777778,0,0.234693878,6,2.0345,0
Tomcat,29,9,67,316,3,0,2,0.55952381,960,1,3,0.210727969,2,1,0
Tomcat,29,0,29,406,0,0,29,2,29,0,0,0.436781609,1,1,0
camel,29,18,57,314,3,17,27,0.920634921,201,1,2,0.144827586,2,0.9655,0
camel,29,14,47,334,2,12,24,0.934065934,262,1,1,0.187739464,9,1.4138,0
camel,29,28,85,296,9,24,13,0.914835165,713,0.692307692,6,0.167582418,12,2.1379,1
camel,29,16,72,386,12,5,26,0.821428571,403,1,1,0.100649351,3,1.1034,1
E-Learning,29,7,66,290,0,7,29,0.908163265,348,1,1,0.482758621,1,0.9655,1
ArcPlatform,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0
ArcPlatform,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
ArcPlatform,0,4,0,0,3,1,0,2,0,0,0,0,0,0,0
ArcPlatform,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0
ant,0,1,0,0,1,0,0,2,48,0,0,0,0,0,0
ant,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0
ant,0,1,0,0,1,0,0,2,7,0,0,0,0,0,0
ant,0,1,0,0,1,0,0,2,25,0,0,0,0,0,0
ant,0,1,0,0,1,0,0,2,26,0,0,0,0,0,0
ant,0,3,0,0,1,2,0,2,0,0,0,0,0,0,0
ant,0,2,0,0,2,0,0,2,22,0,0,0,0,0,0
Nieruchomosci,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
Nieruchomosci,0,1,0,0,1,0,0,2,5,0,0,0,0,0,0
Tomcat,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tomcat,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0
Tomcat,0,8,0,0,8,0,0,2,57,0,0,0,0,0,0
camel,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0
camel,0,46,0,0,45,1,0,2,0,0,0,0,0,0,0
E-Learning,0,1,0,0,1,0,0,2,8,0,0,0,0,0,0
E-Learning,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
E-Learning,0,1,0,0,1,0,0,2,6,0,0,0,0,0,0
E-Learning,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0
E-Learning,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0
jEdit,0,1,0,0,1,0,0,2,179,0,0,0,0,0,0
ArcPlatform,4,4,4,6,2,2,4,2,4,0,0,1,1,1,0
